,Cycle,Token,Strategy,ROI,Trades
0,BEAR,CAKE,Hold (Baseline),-73.62956810631228,1
1,BEAR,CAKE,Dip Buy,-29.696911099696056,0
2,BEAR,CAKE,RSI Mean-Reversion,-20.706079681627244,0
3,BEAR,CAKE,AAMR (Adaptive),-60.9470895101062,0
4,BEAR,BNB,Hold (Baseline),-53.2903470510146,1
5,BEAR,BNB,Dip Buy,32.59731060829901,0
6,BEAR,BNB,RSI Mean-Reversion,23.312786885391716,0
7,BEAR,BNB,AAMR (Adaptive),22.76714343429127,0
8,BEAR,BTC,Hold (Baseline),-65.33637591374327,1
9,BEAR,BTC,Dip Buy,-33.45158004383207,0
10,BEAR,BTC,RSI Mean-Reversion,-0.6946217597692481,0
11,BEAR,BTC,AAMR (Adaptive),15.888645863711472,0
12,BEAR,ETH,Hold (Baseline),-68.23483484440477,1
13,BEAR,ETH,Dip Buy,-33.74130860252954,0
14,BEAR,ETH,RSI Mean-Reversion,62.647415100923354,0
15,BEAR,ETH,AAMR (Adaptive),10.987843457490271,0
16,BULL,CAKE,Hold (Baseline),-20.252764612954184,1
17,BULL,CAKE,Dip Buy,43.065884193230886,0
18,BULL,CAKE,RSI Mean-Reversion,-51.84734206993551,0
19,BULL,CAKE,AAMR (Adaptive),22.22643720117628,0
20,BULL,BNB,Hold (Baseline),129.86906710310964,1
21,BULL,BNB,Dip Buy,0.0,0
22,BULL,BNB,RSI Mean-Reversion,-14.88812693323925,0
23,BULL,BNB,AAMR (Adaptive),17.089228751065576,0
24,BULL,BTC,Hold (Baseline),251.24178915852983,1
25,BULL,BTC,Dip Buy,0.0,0
26,BULL,BTC,RSI Mean-Reversion,40.294081045495005,0
27,BULL,BTC,AAMR (Adaptive),28.387757591933592,0
28,BULL,ETH,Hold (Baseline),147.63483679624107,1
29,BULL,ETH,Dip Buy,0.0,0
30,BULL,ETH,RSI Mean-Reversion,26.99474202038813,0
31,BULL,ETH,AAMR (Adaptive),21.25275133375071,0
